name,affiliation,image
Boaz Barak,OpenAI,speaker-5.jpg
Sam Bowman,Anthropic,sam.jpg
Nicholas Carlini,Anthropic,speaker-3.jpg
Jason Clinton,Anthropic,speaker-4.jpg
Ajeya Cotra,METR,ajeya.jpg
Owain Evans,Truthful AI,owain.jpg
Mia Glaese,OpenAI,mia.jpeg
Ryan Greenblatt,Redwood Research,ryan.jpg
Marius Hobbhahn,Apollo Research,marius.jpg
Evan Hubinger,Anthropic,evan.jpg
Daniel Kokotajlo,AI Futures Project,speaker-1.jpg
Sella Nevo,RAND,sella.jpg
Dylan Scandinaro,OpenAI,dylan.jpg
Buck Shlegeris,Redwood Research,speaker-2.jpg
Jason Wolfe,OpenAI,speaker-6.jpg
Kate Woolverton,Google DeepMind,kate.jpg
Wojciech Zaremba,OpenAI,speaker-7.jpg
More coming soon..., ,
